Food Item,Quantity,Calories,Protein,Carbs,Fats,Timestamp,Meal Tag
White rice (boiled water),1,124.6,2.2,28.5,0.2,,
Chicken breast (cooked),1,270,54,0,6,,
Rolled oats,1,35.5,1,6.3,0.7,,
Meal Logged,,430.1,57.2,34.8,6.9,2025-07-11 19:48:14,lunch
---,,,,,,,
Whole eggs,1,71,6,0.5,5,,
Banana,1,98.7,1,23,0.3,,
White rice (boiled water),1,124.6,2.2,28.5,0.2,,
Green Beans (boiled),1,40.1,1.9,7.9,0.1,,
Peanut butter (natural),1,100,4,3,8,,
Serious Mass (half scoop ~84g),1,313.25,12.5,63,1.25,,
Meal Logged,,747.65,27.6,125.9,14.85,2025-07-11 19:49:38,lunch
---,,,,,,,
Whole eggs,1,71,6,0.5,5,,
Banana,1,98.7,1,23,0.3,,
Green Beans (boiled),1,40.1,1.9,7.9,0.1,,
Rolled oats,1,35.5,1,6.3,0.7,,
Meal Logged,,245.3,9.9,37.7,6.1,2025-07-11 19:55:26,dinner
---,,,,,,,
Chicken breast (cooked),1,270,54,0,6,,
Rolled oats,1,35.5,1,6.3,0.7,,
Beef suet,1,126,0,0,14,,
Carrots (steamed),1,43.4,0.9,9.5,0.2,,
Meal Logged,,474.9,55.9,15.8,20.9,2025-07-12 10:52:53,Breakfast
---,,,,,,,
Green Beans (boiled),1,40.1,1.9,7.9,0.1,,
Chicken breast (cooked),1,270,54,0,6,,
Banana,1,98.7,1,23,0.3,,
Serious Mass (half scoop ~84g),1,313.25,12.5,63,1.25,,
Whey Protein (1 soop ~31g),1,117.5,24,2,1.5,,
Rolled oats,1,35.5,1,6.3,0.7,,
Beef suet,1,126,0,0,14,,
Meal Logged,,1001.05,94.4,102.2,23.85,2025-07-12 10:53:29,lunch
---,,,,,,,
Banana,1,98.7,1,23,0.3,,
White rice (boiled water),1,124.6,2.2,28.5,0.2,,
Chicken breast (cooked),1,270,54,0,6,,
Green Beans (boiled),1,40.1,1.9,7.9,0.1,,
Meal Logged,,533.4,59.1,59.4,6.6,2025-07-12 11:22:09,dinner
---,,,,,,,
White rice (boiled water),1,124.6,2.2,28.5,0.2,,
Green Beans (boiled),1,40.1,1.9,7.9,0.1,,
Chicken breast (cooked),1,270,54,0,6,,
Banana,1,98.7,1,23,0.3,,
Whey Protein (1 soop ~31g),1,117.5,24,2,1.5,,
Rolled oats,1,35.5,1,6.3,0.7,,
Meal Logged,,686.4,84.1,67.7,8.8,2025-07-12 11:22:33,post
